Date : 2020-04-19 00:34:21
Directory : c:\Users\Lucius Spiro\KalethaApp\KalethaApp
Total : 105 files,  10151 codes, 233 comments, 361 blanks, all 10745 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterManagement.component.ts                     | TypeScript |         26 |          0 |          6 |         32 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterManagement.module.ts                        | TypeScript |         29 |          0 |          3 |         32 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom-routing.module.ts                                      | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom.component.html                                         | HTML       |          7 |          0 |          2 |          9 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom.component.ts                                           | TypeScript |         14 |          0 |          2 |         16 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom.module.ts                                              | TypeScript |         25 |          0 |          3 |         28 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.component.html                                      | HTML       |         13 |          0 |          0 |         13 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.component.scss                                      | SCSS       |         18 |          0 |          0 |         18 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.component.ts                                        | TypeScript |         56 |          0 |         12 |         68 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.module.ts                                           | TypeScript |         26 |          0 |          3 |         29 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.service.ts                                          | TypeScript |         30 |          0 |          9 |         39 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\message\message.component.html                           | HTML       |          6 |          0 |          0 |          6 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\message\message.component.scss                           | SCSS       |         18 |          0 |          0 |         18 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\message\message.component.ts                             | TypeScript |         11 |          0 |          3 |         14 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conDetails\conDetails.component.html                       | HTML       |         31 |          0 |          5 |         36 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conDetails\conDetails.component.scss                       | SCSS       |         15 |          0 |          0 |         15 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conDetails\conDetails.component.ts                         | TypeScript |         24 |          0 |          5 |         29 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEdit\conEdit.component.html                             | HTML       |         25 |          0 |          2 |         27 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEdit\conEdit.component.scss                             | SCSS       |         18 |          0 |          0 |         18 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEdit\conEdit.component.ts                               | TypeScript |         44 |          0 |          8 |         52 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEntry\conEntry.component.html                           | HTML       |          7 |          0 |          0 |          7 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEntry\conEntry.component.scss                           | SCSS       |         12 |          0 |          0 |         12 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEntry\conEntry.component.ts                             | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conMain\conMain.component.html                             | HTML       |         20 |          0 |          6 |         26 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conMain\conMain.component.scss                             | SCSS       |         15 |          0 |          0 |         15 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conMain\conMain.component.ts                               | TypeScript |         25 |          0 |          6 |         31 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement-routing.module.ts                            | TypeScript |         18 |          0 |          4 |         22 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement.component.html                               | HTML       |         19 |          0 |          2 |         21 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement.component.ts                                 | TypeScript |         26 |          0 |          5 |         31 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conManagement.module.ts                                    | TypeScript |         33 |          0 |          2 |         35 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\convention.service.ts                                      | TypeScript |         56 |          0 |         13 |         69 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home-routing.module.ts                                              | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home.component.html                                                 | HTML       |         11 |          9 |          1 |         21 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home.component.ts                                                   | TypeScript |         18 |          2 |          5 |         25 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home.module.ts                                                      | TypeScript |         17 |          0 |          3 |         20 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login-routing.module.ts                                            | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.component.html                                               | HTML       |         15 |          1 |          1 |         17 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.component.ts                                                 | TypeScript |         67 |          0 |          9 |         76 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.module.ts                                                    | TypeScript |         19 |          0 |          4 |         23 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.service.ts                                                   | TypeScript |         50 |          0 |         11 |         61 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\character.model.ts                                                | TypeScript |          6 |         22 |          2 |         30 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\convention.model.ts                                               | TypeScript |          9 |          0 |          2 |         11 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\kalethaner.model.ts                                               | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\member.model.ts                                                   | TypeScript |          5 |          0 |          1 |          6 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\message.model.ts                                                  | TypeScript |          8 |          0 |          1 |          9 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\user.model.ts                                                     | TypeScript |          4 |          0 |          1 |          5 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\services\user.service.ts                                                 | TypeScript |         37 |          0 |          8 |         45 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings-routing.module.ts                                      | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings.component.html                                         | HTML       |         11 |          9 |          1 |         21 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings.component.ts                                           | TypeScript |         18 |          2 |          5 |         25 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings.module.ts                                              | TypeScript |         17 |          0 |          3 |         20 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user-routing.module.ts                                              | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user.component.html                                                 | HTML       |         10 |          0 |          0 |         10 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user.component.ts                                                   | TypeScript |         16 |          6 |          6 |         28 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user.module.ts                                                      | TypeScript |         19 |          0 |          2 |         21 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\main.ts                                                                      | TypeScript |          3 |          1 |          3 |          7 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\package.json                                                                 | JSON       |          7 |          0 |          1 |          8 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tsconfig.json                                                                    | JSON       |         16 |         12 |          0 |         28 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tsconfig.tns.json                                                                | JSON       |          7 |          0 |          1 |          8 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tsfmt.json                                                                       | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tslint.json                                                                      | JSON       |          5 |         54 |          0 |         59 |
| c:\Users\Lucius Spiro\KalethaApp\KalethaApp\webpack.config.js                                                                | JavaScript |        244 |         62 |         14 |        320 |
| Total                                                                                                                        |            |     10,151 |        233 |        361 |     10,745 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
